product_name,cost,helpful_count,color,date,rating,content,is_verified
Beats Pill,149.95,18,Red,2024-07-01,5,"Really nice portable speaker for the price. Solid buy!Needed a new portable speaker for the home setup and once I saw that Beats (read: Apple) came out with the new Beats Pill, I bit the bullet and purchased one.First things first, the unboxing experience and the design of the speaker is quintessentially Apple. Speaker has a nice heft to it and the design of the speaker is really nice, with the angled design, and the speakers facing you.If you are in the Apple Ecosystem, this speaker was made for you as it connects to your iPhone the minute you turn it on with a very satisfying screen animation. I'm told you can easily connect with an Android product too but I didn't have one in hand to test out how easy it was.The sound quality of this speaker is really great for its size, living up to the Beats name, filling the room with punchy bass and crystal clear sound. Rated IP67 meaning it is dust and water resistant, so you can feel confident taking it to your next beach party or when you are traveling. Battery life of this thing is stated at a whopping 24 hrs. I'll definitely be testing that claim, but if true, is completely mind blowing.But what sets this speaker apart, and one of the main reasons why I bought it, is that it also doubles as a speakerphone!!! I can connect this badboy to my laptop, and take crystal clear Teams calls with it all day at work. And when I'm done with my calls, since it is connected to my laptop via USB-C, I can listen to lossless music on Apple Music. Mind...blown!Run, don't walk, to buy this awesome speaker!!",True
Beats Pill,149.95,0,Gold,2024-09-05,5,"Very HappyWe bought this for a trip to the beach and it did not disappoint. Quick easy connection to our phones, good sound quality, solid build and long battery life. We have since found ourselves grabbing it instead of our existing outdoor speakers for using on the back patio. One feature we did not think we would use but really like is the speaker phone function. It is really nice for conversations with family that multiple people want to be involved in. Better then iPhone speaker phone alone.",True
Beats Pill,149.95,8,Gold,2024-07-11,5,"The best Speaker I have ever bought in my life!I really like the new Beats Pill 2024 speaker. The sound quality is amazing with great bass and clear vocals. It's small, stylish, and easy to carry around, which is perfect for when I'm on the go.The battery lasts a long time, even with heavy use, and connecting it to my devices with Bluetooth is super easy. The design looks good and fits well with any room or setup.The only downside is that there isn't an app to control the speaker. It would be nice to have an app to adjust settings, check battery life, and manage connections. Even without this, the Beats Pill 2024 is a fantastic speaker that I highly recommend.",True
Beats Pill,149.95,7,Red,2024-07-08,5,"Really goodSo I’m super picky about sound and have spent a decent amount of money over the years finding good speakers. I was currently using the B&O Bluetooth speaker which is really good and is a bit more money than this. Prior I had Bose and some of other brands. Compared to all of them this is an amazing speaker for the price point. Bass is great. Clarity is great. Build quality is great. You can even hook it up via usb c to get lossless music. I didnt notice much a difference that way. Also if your in the apple eco system it works like AirPods where you can switch between devices and also locate the speaker via find my. Note I have also tried both of the newest beats over ear headphones and hated them, so I was surprised that this was as good as it is.",True
Beats Pill,149.95,5,Black,2024-07-23,4,"Is it the JBL killer?I bought this because it was on sale, and I always wanted a beats pill.I am a JBL user, and firmly stand by their quality and sound.Does this compete with Flip 6? Absolutely.Does it compete with Charge 4 or 5? Definitely not.Heres whySound: i purchased the Black Pill, right out of the box it is versatile in the sense it matches anything you have. I could’ve went with Champagne as well and would’ve also fit. I compared to flip 6 right away, it is Brighter, crisper and deeper bass at 50% volume and lower.However at above 50% the bass becomes muddy, it has this weird flutter sound to it. The Flip 6 Still Sounds great at 50% and lower just it sounds a little quieter and less vibrant compared to the Pill.The Charge 4 and 5 are bigger speakers and has bigger woofers.The pill is definitely very portable, great performance and most definitely great value for the money.Maybe later down the road i will purchase another for stereo sound bars for our TV.",True
Beats Pill,149.95,5,Black,2024-08-02,5,"Beats PillI love the size, weight and quality of my Pill! It delivers good, deep base and enhances my listening beautifully! I recommend this speaker to anyone who loves music and true sound!!",True
Beats Pill,149.95,0,Black,2024-09-01,5,"Beats pillThe sound on this is like having a stereo with you. Crisp, clear sound, and easy to use.",True
Beats Pill,149.95,6,Black,2024-07-02,3,"Good design, but bass distortionThe new pill looks awesome, and built extremely well... The tone when pairing emits a very low end bass note that gets you excited for the performance expected from Beats... However, with this being said, the performance is only half of what I hoped... the programmed sound processing limits using an external eq as boosted bass significantly drops the volume at each note, which is sad because pill doesn't have an eq in its app at all.... the sound you get between 40 percent and lower is where this shines, mids are clear and neutral, highs are clear and crisp without any harshness, and there is a slight amount of low end at lower volume, but past halfway volume and the bass distorts and the programming takes over to then roll off the bass and then it's mostly just mids and highs.... They seriously could've added a passive radiator to the back of this thing and then would have something here.... All this, and the package arrived with the box already opened.... not too excited about my purchase....",True
Beats Pill,149.95,3,Black,2024-08-13,4,"Almost perfectI bought the new pill mainly to use wired for my gaming handhelds ROG Ally X and Steam Deck. Most Bluetooth speakers today are lacking AUX ports and any type of direct connection. Bluetooth audio is delayed which is annoying when playing a game or watching a video.CON: Only 4 stars instead of 5 because to use this wired you need to hold down the power button when you plug in the USB-C cable, so essentially, I have to do this every day. It's annoying and almost was almost a deal breaker. I've just gotten used to unplugging it when I take my handheld off the dock, it's nice that it powers off immediately when unplugged, so there's that, I guess.PRO: The new Beats Pill sounds good, it's better than a lot of other Bluetooth speakers I've had. Being in the Apple ecosystem it's nice that it's interconnected with my devices. One not so well-known feature is that you can change the volume of the tones the speaker makes when it turns on or off. Use an IOS device, go into settings in Bluetooth and Accessibility. Having a low volume tone is soo much better!",True
Beats Pill,149.95,0,Gold,2024-08-15,4,"No App for IOS. No way to disable loud startup/poweroff tonesLove these speakers, but Apple seemed to have made a bit screw up.The speaker makes a very loud startup and power down sound. NO way to turn them off.Also, Apple does NOT have an IOS version of Beats that will support the Beats Pill 2024. Instead, only supports the old Beats Pill+.Totally confusing! Big oversight by Apple. Hope they will get around someday to updating or creating a new app or just add this functionality inside the existing IOS to support disabling of these tones.",True
Beats Pill,149.95,0,Black,2024-09-05,5,"Beats PillI so glad I finally got one, I’ve been wanting one forever. Let me tell you this It doesn’t disappoint, it’s laid and clear. Well worth the money for the battery life and performance you get for it.",True
Beats Pill,149.95,0,Gold,2024-08-28,4,"Don’t drop it, will dent the speaker grillIt sounds amazing but don’t drop it from even low heights, it will dent the speaker grill though this does not affect the functionality or sound.",True
Beats Pill,149.95,0,Red,2024-09-06,5,"SonidoExcelente compra, gran sonido y duración de la batería",True
Beats Pill,149.95,0,Black,2024-08-16,4,ImpressiveNice set of speakers! I purchased two for stereo and to pair to my Apple TV. They work great and the battery seems to last a long time.,True
Beats Pill,149.95,1,Gold,2024-08-31,5,The sound is amazingThis speaker is for small group workouts. Love it. Nice and loud,True
Beats Pill,149.95,0,Gold,2024-08-28,5,Great investmentThe Beats Pills Speaker has an amazing music flow and is easy to move around,True
Beats Pill,149.95,0,Red,2024-08-19,5,Awesome sound!This pill sounds fantastic & it’s quite loud for its size. Looks great too! Love the vibrant red color & the bass is BOOMIN!,True
Beats Pill,149.95,0,Red,2024-08-31,5,BETTER THAN ALL THE NEW GARBAGE QUALITY NEW BEATS SOLO 4 AND STUDIO PRO SERIESOnly thing worth buying,True
